frame,abstime,reltime,Cursor 1 [C],Cursor 2 [C],Cursor 3 [C]
14676,16:21.0,0,3.85E+01,3.43E+01,3.18E+01
14677,16:21.1,0.063,3.86E+01,3.43E+01,3.18E+01
14678,16:21.2,0.123,3.85E+01,3.43E+01,3.18E+01
14679,16:21.2,0.184,3.85E+01,3.43E+01,3.18E+01
14680,16:21.3,0.248,3.85E+01,3.43E+01,3.19E+01
14681,16:21.3,0.312,3.85E+01,3.43E+01,3.18E+01
14682,16:21.4,0.373,3.85E+01,3.43E+01,3.19E+01
14683,16:21.5,0.438,3.85E+01,3.43E+01,3.19E+01
14684,16:21.5,0.497,3.84E+01,3.43E+01,3.19E+01
14685,16:21.6,0.563,3.83E+01,3.43E+01,3.18E+01
14686,16:21.7,0.624,3.84E+01,3.43E+01,3.18E+01
14687,16:21.7,0.688,3.83E+01,3.43E+01,3.18E+01
14688,16:21.8,0.75,3.83E+01,3.43E+01,3.18E+01
14689,16:21.8,0.81,3.83E+01,3.43E+01,3.18E+01
14690,16:21.9,0.874,3.83E+01,3.43E+01,3.18E+01
14691,16:22.0,0.938,3.83E+01,3.43E+01,3.18E+01
14692,16:22.0,0.997,3.83E+01,3.43E+01,3.18E+01
14693,16:22.1,1.06,3.83E+01,3.43E+01,3.18E+01
14694,16:22.2,1.125,3.83E+01,3.43E+01,3.18E+01
14695,16:22.2,1.186,3.82E+01,3.43E+01,3.19E+01
14696,16:22.3,1.25,3.82E+01,3.43E+01,3.19E+01
14697,16:22.3,1.311,3.82E+01,3.43E+01,3.18E+01
14698,16:22.4,1.375,3.82E+01,3.43E+01,3.19E+01
14699,16:22.5,1.436,3.82E+01,3.43E+01,3.19E+01
14700,16:22.5,1.5,3.82E+01,3.43E+01,3.19E+01
14701,16:22.6,1.562,3.82E+01,3.42E+01,3.19E+01
14702,16:22.7,1.625,3.82E+01,3.42E+01,3.19E+01
14703,16:22.7,1.685,3.82E+01,3.42E+01,3.18E+01
14704,16:22.8,1.75,3.81E+01,3.43E+01,3.18E+01
14705,16:22.8,1.811,3.81E+01,3.43E+01,3.18E+01
14706,16:22.9,1.874,3.81E+01,3.43E+01,3.19E+01
14707,16:23.0,1.937,3.81E+01,3.42E+01,3.18E+01
14708,16:23.0,2.001,3.81E+01,3.42E+01,3.18E+01
14709,16:23.1,2.066,3.80E+01,3.42E+01,3.18E+01
14710,16:23.1,2.123,3.80E+01,3.42E+01,3.18E+01
14711,16:23.2,2.188,3.80E+01,3.42E+01,3.17E+01
14712,16:23.3,2.249,3.80E+01,3.42E+01,3.17E+01
14713,16:23.3,2.313,3.79E+01,3.41E+01,3.17E+01
14714,16:23.4,2.375,3.79E+01,3.42E+01,3.17E+01
14715,16:23.5,2.435,3.79E+01,3.42E+01,3.17E+01
14716,16:23.5,2.498,3.79E+01,3.42E+01,3.17E+01
14717,16:23.6,2.562,3.79E+01,3.42E+01,3.18E+01
14718,16:23.7,2.625,3.79E+01,3.42E+01,3.18E+01
14719,16:23.7,2.688,3.79E+01,3.42E+01,3.18E+01
14720,16:23.8,2.748,3.79E+01,3.42E+01,3.18E+01
14721,16:23.8,2.813,3.78E+01,3.42E+01,3.17E+01
14722,16:23.9,2.872,3.78E+01,3.42E+01,3.17E+01
14723,16:24.1,3.078,3.78E+01,3.41E+01,3.17E+01
14724,16:24.2,3.125,3.78E+01,3.41E+01,3.17E+01
14725,16:24.2,3.185,3.78E+01,3.41E+01,3.17E+01
14726,16:24.3,3.25,3.77E+01,3.41E+01,3.17E+01
14727,16:24.3,3.313,3.77E+01,3.41E+01,3.17E+01
14728,16:24.4,3.372,3.77E+01,3.41E+01,3.17E+01
14729,16:24.5,3.437,3.77E+01,3.41E+01,3.17E+01
14730,16:24.5,3.499,3.77E+01,3.41E+01,3.17E+01
14731,16:24.6,3.56,3.77E+01,3.42E+01,3.17E+01
14732,16:24.7,3.624,3.76E+01,3.42E+01,3.17E+01
14733,16:24.7,3.686,3.76E+01,3.42E+01,3.17E+01
14734,16:24.8,3.748,3.76E+01,3.41E+01,3.17E+01
14735,16:24.8,3.812,3.76E+01,3.41E+01,3.17E+01
14736,16:24.9,3.875,3.76E+01,3.41E+01,3.17E+01
14737,16:25.0,3.938,3.76E+01,3.41E+01,3.17E+01
14738,16:25.0,3.998,3.76E+01,3.41E+01,3.17E+01
14739,16:25.1,4.063,3.76E+01,3.41E+01,3.16E+01
14740,16:25.1,4.122,3.76E+01,3.41E+01,3.17E+01
14741,16:25.2,4.186,3.75E+01,3.41E+01,3.17E+01
14742,16:25.3,4.25,3.75E+01,3.41E+01,3.17E+01
14743,16:25.3,4.312,3.75E+01,3.41E+01,3.17E+01
14744,16:25.4,4.372,3.75E+01,3.41E+01,3.16E+01
14745,16:25.5,4.437,3.75E+01,3.41E+01,3.17E+01
14746,16:25.5,4.499,3.74E+01,3.42E+01,3.17E+01
14747,16:25.6,4.561,3.75E+01,3.41E+01,3.16E+01
14748,16:25.6,4.623,3.74E+01,3.41E+01,3.16E+01
14749,16:25.7,4.686,3.74E+01,3.41E+01,3.16E+01
14750,16:25.8,4.75,3.74E+01,3.41E+01,3.16E+01
14751,16:25.8,4.811,3.74E+01,3.40E+01,3.16E+01
